theme_id,theme_name,quote_code,stock_name,membership,role
cooling,液冷與散熱,6230,尼得科超眾,core,散熱模組
cooling,液冷與散熱,3338,泰碩,core,散熱模組
cooling,液冷與散熱,3483,力致,core,散熱模組
cooling,液冷與散熱,6805,富世達,adjacent,液冷機構件
power_bbu,電源供應與BBU,2308,台達電,core,資料中心電源
power_bbu,電源供應與BBU,2301,光寶科,core,伺服器電源
power_bbu,電源供應與BBU,6412,群電,core,伺服器電源
power_bbu,電源供應與BBU,6282,康舒,core,電源供應器
power_bbu,電源供應與BBU,6409,旭隼,core,UPS
power_bbu,電源供應與BBU,3211,順達,core,BBU與電池模組
power_bbu,電源供應與BBU,6781,AES-KY,core,BBU電池模組
power_bbu,電源供應與BBU,4931,新盛力,core,電池模組
power_bbu,電源供應與BBU,6121,新普,core,電池模組
power_bbu,電源供應與BBU,3323,加百裕,core,電池模組
power_bbu,電源供應與BBU,3032,偉訓,adjacent,伺服器電源與機殼
power_bbu,電源供應與BBU,3015,全漢,core,電源供應器
power_bbu,電源供應與BBU,3078,僑威,core,電源供應器
power_bbu,電源供應與BBU,6203,海韻電,core,電源供應器
network,高速網通與交換器,2345,智邦,core,資料中心交換器
network,高速網通與交換器,3596,智易,core,寬頻網通設備
network,高速網通與交換器,5388,中磊,core,寬頻網通設備
network,高速網通與交換器,6285,啟碁,core,無線網通與衛星終端
network,高速網通與交換器,3704,合勤控,core,網通設備
network,高速網通與交換器,3380,明泰,core,網通設備
network,高速網通與交換器,4906,正文,core,網通設備
network,高速網通與交換器,3062,建漢,core,網通設備
network,高速網通與交換器,2379,瑞昱,adjacent,網通IC
network,高速網通與交換器,2454,聯發科,adjacent,網通與邊緣運算IC
leo,低軌衛星,3491,昇達科,core,衛星通訊RF元件
leo,低軌衛星,6285,啟碁,core,衛星地面終端
leo,低軌衛星,2314,台揚,core,衛星通訊設備
leo,低軌衛星,4906,正文,core,衛星與網通設備
leo,低軌衛星,5222,全訊,core,高頻功率放大器
leo,低軌衛星,2313,華通,core,衛星PCB
leo,低軌衛星,2367,燿華,core,衛星PCB
leo,低軌衛星,2355,敬鵬,adjacent,衛星PCB
leo,低軌衛星,4916,事欣科,adjacent,航太與衛星設備製造
leo,低軌衛星,3178,公準,adjacent,航太精密製造
asic_ip,ASIC與矽智財,2454,聯發科,core,ASIC與SoC設計
asic_ip,ASIC與矽智財,3443,創意,core,ASIC設計服務
asic_ip,ASIC與矽智財,3661,世芯-KY,core,ASIC設計服務
asic_ip,ASIC與矽智財,3035,智原,core,ASIC設計服務
asic_ip,ASIC與矽智財,3529,力旺,core,矽智財
asic_ip,ASIC與矽智財,6643,M31,core,矽智財
asic_ip,ASIC與矽智財,5269,祥碩,core,高速傳輸IC
asic_ip,ASIC與矽智財,5274,信驊,adjacent,伺服器BMC
asic_ip,ASIC與矽智財,6531,愛普*,adjacent,記憶體架構與PIM
asic_ip,ASIC與矽智財,6415,矽力*-KY,adjacent,電源管理IC
asic_ip,ASIC與矽智財,2330,台積電,adjacent,先進製程製造
panel,面板與面板級封裝,3481,群創,core,LCD面板與FOPLP
panel,面板與面板級封裝,2409,友達,core,LCD面板與Micro LED
panel,面板與面板級封裝,6116,彩晶,core,LCD面板
panel,面板與面板級封裝,4960,誠美材,adjacent,偏光板
panel,面板與面板級封裝,8215,明基材,adjacent,偏光片與光學材料
robotics,Physical AI與機器人,4585,達明,core,協作型機器人
robotics,Physical AI與機器人,6215,和椿,core,機器人整合
robotics,Physical AI與機器人,2359,所羅門,core,機器視覺與機器人整合
robotics,Physical AI與機器人,2395,研華,core,工業電腦與邊緣AI
robotics,Physical AI與機器人,6166,凌華,core,工業電腦與控制
robotics,Physical AI與機器人,6414,樺漢,core,工業電腦與系統整合
robotics,Physical AI與機器人,2464,盟立,core,自動化整合
robotics,Physical AI與機器人,2049,上銀,core,線性傳動
robotics,Physical AI與機器人,1590,亞德客-KY,core,氣動與傳動元件
robotics,Physical AI與機器人,4576,大銀微系統,core,線性馬達與傳動
robotics,Physical AI與機器人,4540,全球傳動,core,線性傳動
robotics,Physical AI與機器人,1597,直得,core,線性滑軌
robotics,Physical AI與機器人,8374,羅昇,adjacent,自動化零組件
robotics,Physical AI與機器人,4571,鈞興-KY,core,精密齒輪
robotics,Physical AI與機器人,4583,台灣精銳,core,精密減速機
defense,軍工無人機無人船,8033,雷虎,core,無人機
defense,軍工無人機無人船,5371,中光電,core,無人機與光電酬載
defense,軍工無人機無人船,7402,邑錡,core,無人機影像與系統
defense,軍工無人機無人船,6517,保勝光學,core,軍用光學
defense,軍工無人機無人船,2634,漢翔,core,軍機與航太
defense,軍工無人機無人船,2630,亞航,core,軍機維修
defense,軍工無人機無人船,2645,長榮航太,core,航太製造與維修
defense,軍工無人機無人船,4541,晟田,core,航太零組件
defense,軍工無人機無人船,1584,精剛,core,航太特殊合金
defense,軍工無人機無人船,6753,龍德造船,core,軍艦與無人船
defense,軍工無人機無人船,2208,台船,core,軍艦與船舶
defense,軍工無人機無人船,5222,全訊,adjacent,軍用高頻功率放大器
defense,軍工無人機無人船,4916,事欣科,adjacent,航太電子製造
defense,軍工無人機無人船,3178,公準,adjacent,航太精密製造
shipping_event,中東事件與航運,2603,長榮,core,貨櫃航運
shipping_event,中東事件與航運,2609,陽明,core,貨櫃航運
shipping_event,中東事件與航運,2615,萬海,core,貨櫃航運
shipping_event,中東事件與航運,2605,新興,core,散裝航運
shipping_event,中東事件與航運,2637,慧洋-KY,core,散裝航運
shipping_event,中東事件與航運,5608,四維航,core,散裝航運
shipping_event,中東事件與航運,2606,裕民,core,散裝航運
shipping_event,中東事件與航運,2617,台航,core,散裝航運
shipping_event,中東事件與航運,2636,台驊控股,adjacent,貨運承攬
shipping_event,中東事件與航運,2618,長榮航,adjacent,油價衝擊反向觀察
power_semiconductor,功率半導體與成熟製程,2303,聯電,core,成熟製程晶圓代工
power_semiconductor,功率半導體與成熟製程,6770,力積電,core,成熟製程晶圓代工
power_semiconductor,功率半導體與成熟製程,5347,世界,core,成熟製程晶圓代工
power_semiconductor,功率半導體與成熟製程,3707,漢磊,core,功率半導體晶圓代工
power_semiconductor,功率半導體與成熟製程,2434,統懋,core,功率二極體
power_semiconductor,功率半導體與成熟製程,2481,強茂,core,功率二極體
power_semiconductor,功率半導體與成熟製程,8255,朋程,core,車用功率元件
power_semiconductor,功率半導體與成熟製程,3675,德微,core,功率二極體
power_semiconductor,功率半導體與成熟製程,5425,台半,core,功率半導體
power_semiconductor,功率半導體與成熟製程,8261,富鼎,core,MOSFET
power_semiconductor,功率半導體與成熟製程,3317,尼克森,core,MOSFET
power_semiconductor,功率半導體與成熟製程,6435,大中,core,MOSFET
power_semiconductor,功率半導體與成熟製程,5299,杰力,core,電源管理與MOSFET
power_semiconductor,功率半導體與成熟製程,6138,茂達,adjacent,電源管理IC
